>> Engine created.
Таблица:  bank
(83, '1', '1102', '01', '00', 0, 0)
(83, '1', '1102', '09', '00', 0, 0)
(83, '1', '1102', '10', '00', 401196, 0)
(83, '1', '1102', '11', '00', 0, 0)
(83, '1', '1102', '16', '00', 0, 0)
(83, '1', '1906', '01', '00', 263400, 0)
(83, '1', '1401', '01', '00', 29769200, 0)
(83, '1', '1401', '02', '00', 0, 0)
(83, '1', '2207', '00', '00', 0, 0)
(83, '1', '2101', '01', '00', 0, 0)
(83, '1', '2208', '01', '00', 0, 0)
(83, '1', '2208', '02', '00', 37445, 0)
(83, '1', '2208', '03', '00', 0, 0)
(83, '1', '2209', '02', '00', 44336, 0)
(83, '1', '2209', '03', '00', 0, 0)
(83, '1', '2209', '04', '00', 579700, 0)
(83, '1', '2108', '09', '00', 0, 0)
(83, '1', '2108', '10', '00', 0, 0)
(83, '1', '2108', '11', '00', 493000, 0)
(83, '1', '2108', '08', '00', 0, 0)
(83, '1', '2401', '02', '00', 0, 0)
(83, '1', '2403', '00', '00', 0, 0)
(83, '1', '2406', '03', '00', 22940, 0)
(83, '1', '1907', '00', '00', 0, 0)
(83, '1', '2209', '06', '00', 136000, 0)
(83, '1', '3101', '01', '00', 0, 0)
(83, '1', '2108', '13', '00', 235100, 0)
(83, '1', '2414', '02', '00', 0, 0)
(83, '1', '2414', '03', '00', 1091800, 0)
(83, '1', '2414', '05', '00', 403001, 0)
(83, '1', '1102', '31', '00', 0, 0)
(83, '1', '1102', '33', '00', 0, 0)
(83, '1', '1102', '40', '00', 2300000, 0)
(83, '1', '1102', '46', '00', 0, 0)
(83, '1', '1302', '01', '00', 110627, 0)
(83, '1', '1302', '04', '01', 0, 0)
(83, '2', '2203', '00', '01', 331492, 0)
(83, '2', '5007', '00', '00', 0, 0)
(83, '2', '2501', '01', '00', 1268398, 0)
(83, '2', '2501', '02', '00', 11413274, 0)
(83, '2', '2501', '03', '00', 52423, 0)
(83, '2', '2501', '04', '00', 0, 0)
(83, '2', '2502', '01', '00', 0, 0)
(83, '2', '2502', '02', '00', 84356, 0)
(83, '2', '1905', '03', '00', 0, 0)
(83, '2', '2406', '21', '00', 0, 0)
(83, '2', '1901', '01', '01', 0, 0)
